,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
719,sz002161,远 望 谷,通信设备,深圳,1772.82,69589.89,73975.74,186851.56,71390.43,22892.96,46123.42,0.62,0.002,2.17,6.79,20070821
720,sz300143,星河生物,种植业,广东,171.48,10594.42,23393.84,182654.84,28895.44,39787.37,154660.25,6.61,0.035,6.2,3.85,20101209
721,sz002635,安洁科技,电脑设备,江苏,41.45,18409.08,38885.32,307391.72,177617.5,80137.8,125314.22,3.22,0.22,6.19,5.9,20111125
722,sh600959,XR江苏有,影视音像,江苏,49.81,107398.34,388452.97,1874626.63,616484.88,877818.19,735686.06,1.89,0.058,3.17,3.62,20150428
723,sz000657,中钨高新,小金属,海南,0.0,24557.07,62865.46,676954.06,337344.0,243376.88,274118.03,4.36,0.043,4.66,3.72,19961205
724,sh601001,大同煤业,煤炭开采,山西,5.52,167370.0,167370.0,2653422.5,1142819.88,465680.56,114297.36,0.68,0.262,3.19,1.81,20060623
725,sh600505,西昌电力,水力发电,四川,165.93,36456.75,36456.75,231805.97,25460.82,159101.47,7618.86,0.21,0.014,2.72,3.41,20020530
726,sh600393,粤泰股份,全国地产,广东,0.0,29950.5,126812.39,1163911.25,1059787.38,14367.25,343981.41,2.71,0.02,4.1,2.84,20010319
727,sh600351,亚宝药业,中成药,山西,29.6,69200.0,78704.14,439027.0,216913.84,177804.02,107806.47,1.37,0.089,3.49,3.0,20020926
728,sz300164,通源石油,石油开采,陕西,0.0,30246.75,40509.51,194622.56,101840.5,40359.82,65861.5,1.63,0.042,3.17,2.57,20110113
729,sz002510,天汽模,汽车配件,天津,85.08,63748.23,82304.0,402469.72,260990.47,71695.2,64613.48,0.79,0.024,2.27,3.6,20101125
730,sh600699,均胜电子,汽车配件,浙江,53.51,63614.48,68936.97,1253218.88,788578.63,249540.59,225331.41,3.27,0.175,5.61,6.69,19931206
731,sh603737,三棵树,染料涂料,福建,0.0,2500.0,10000.0,98233.43,41335.64,30891.9,1126.58,0.11,0.138,7.12,15.96,20160603
732,sh600784,鲁银投资,普钢,山东,18.61,49661.37,56817.78,531754.06,389324.0,35556.23,45325.55,0.8,0.126,2.64,3.56,19961225
733,sz000725,京东方Ａ,元器件,北京,191.46,2402839.25,3515306.75,16280723.0,7233953.5,6183270.0,3902796.5,1.11,0.003,2.21,1.07,20010112
734,sh600687,刚泰控股,黄金,甘肃,32.27,107853.95,148871.53,1131382.75,911240.13,40973.64,292317.84,1.96,0.137,3.62,4.9,19931108
735,sh600210,紫江企业,广告包装,上海,45.47,143673.59,151673.59,1103843.0,456007.69,392480.69,37736.89,0.25,0.033,2.69,2.2,19990824
736,sh600892,大晟文化,综合类,深圳,113.92,6289.93,13986.59,275555.34,143474.63,1288.12,157581.86,11.27,0.138,10.98,5.72,19960315
737,sz002484,江海股份,元器件,江苏,99.3,48992.91,53248.0,207421.88,122306.77,57018.05,68007.13,1.28,0.039,3.19,4.83,20100929
738,sh601111,中国国航,空运,北京,9.63,852206.75,1308475.13,21922126.0,2109954.0,14805066.0,1650953.13,1.26,0.2,4.75,1.51,20060818
739,sz000510,金路集团,化工原料,四川,779.36,56343.44,60918.23,144285.8,31886.66,98677.82,4489.06,0.07,0.002,1.23,5.84,19930507
740,sh600668,尖峰集团,水泥,浙江,52.81,34408.37,34408.37,362265.59,76438.71,133471.36,41733.65,1.21,0.074,6.4,2.45,19930728
741,sz300291,华录百纳,影视音像,北京,107.16,47089.3,70853.86,490553.81,261924.7,1096.64,245160.22,3.46,0.056,5.53,4.36,20120209
742,sz000400,许继电气,电气设备,河南,110.06,73744.6,100832.72,1238146.63,1079487.25,96564.27,82976.38,0.82,0.036,6.27,2.5,19970418
743,sh600319,*ST亚星,化工原料,山东,0.0,31559.4,31559.4,213683.8,91131.88,104531.07,71594.9,2.27,0.093,0.58,16.48,20010326
